id,name,type,platform,state,description
d3aa2c1d-618d-46f5-a0eb-6ddefec8d4a6,Backup Job 174 prtdb,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 11/30/2025 4:31 PM.
986eb0a6-65f8-4425-b245-5fd9b9e08abd,Backup Job 176_temp,Backup,,,Created by WZ\admin-wy at 12/5/2025 9:36 AM.
e9b66d8a-6141-4ea9-bd61-4ad2b0d9abcd,Backup Job MRO,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 12/5/2025 3:11 PM.
412426e0-a6eb-4b3b-b4fd-d8f8027850be,WZ_GF_111-API-ALL_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 6/27/2024 9:16 AM.
e00f4ec2-bea4-44b2-aeb4-45d847884510,WZ_GF_112-YBMES01_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 6/28/2024 2:01 PM.
8a03cfe3-1514-43b8-9d00-a00bddca01d7,WZ_GF_113-YBWL_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 12/19/2024 3:38 PM.
1e13b60d-36ee-4a96-b07c-e5598850fd20,WZ_GF_121-WZVC01-FSSC_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:11 PM.
0645558a-867e-4eb0-951c-229dd5cb4bcb,WZ_GF_122-WZVC01-SAP_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:16 PM.
0afb311e-59ef-4aed-89ce-978ae19481ee,WZ_GF_123-WZVC01-TAX_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:22 PM.
212a5842-290e-4ea6-90f3-be98c7a9f708,WZ_GF_124-WZVC01-FSSC_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:16 PM.
8879e7b8-ae64-43a1-ac7e-1ab053a39461,WZ_GF_131-WZVC02-UC_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:50 PM.
cb42549c-2757-49a4-b6a9-107deadf59f4,WZ_GF_132-WZVC02-UC_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:52 PM.
d6d8e70c-128e-4655-bebb-a90a44fdaa74,WZ_GF_133-WZVC02-SAP_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:53 PM.
602f48b2-a530-478b-9b17-69cb6b47d3dd,WZ_GF_137-SBU_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/19/2024 8:31 AM.
7286d923-2f10-47ce-a99d-290451901476,WZ_GF_141-JTWL-TM_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/19/2024 8:08 AM.
bfec1897-ca39-4503-af31-11c39da557c7,WZ_GF_142-JTWL-TM_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/19/2024 8:10 AM.
